FGYA1141.g1	FGYA-2.CPF_J22
FGYA1142.b1	FGYA-2.CPR_L22
FGYA1143.b1	FGYA-2.CPR_N22
FGYA1143.g1	FGYA-2.CPF_N22
FGYA1144.b1	FGYA-2.CPR_P22
FGYA1144.g1	FGYA-2.CPF_P22
FGYA1145.b1	FGYA-2.CPR_B24
FGYA1146.b1	FGYA-2.CPR_D24
FGYA1146.g1	FGYA-2.CPF_D24
FGYA1147.b1	FGYA-2.CPR_F24
FGYA1147.g1	FGYA-2.CPF_F24
FGYA1149.b1	FGYA-2.CPR_J24
FGYA1149.g1	FGYA-2.CPF_J24
FGYA1150.b1	FGYA-2.CPR_L24
FGYA1150.g1	FGYA-2.CPF_L24
FGYA1151.b1	FGYA-2.CPR_N24
FGYA1151.g1	FGYA-2.CPF_N24
FGYA1153.b1	FGYA-3.CPR_A1
FGYA1153.g1	FGYA-3.CPF_A1
FGYA1154.b1	FGYA-3.CPR_C1
FGYA1154.g1	FGYA-3.CPF_C1
FGYA1155.b1	FGYA-3.CPR_E1
FGYA1155.g1	FGYA-3.CPF_E1
FGYA1156.b1	FGYA-3.CPR_G1
FGYA1156.g1	FGYA-3.CPF_G1
FGYA1157.b1	FGYA-3.CPR_I1
FGYA1157.g1	FGYA-3.CPF_I1
FGYA1158.b1	FGYA-3.CPR_K1
FGYA1158.g1	FGYA-3.CPF_K1
FGYA1160.b1	FGYA-3.CPR_O1
FGYA1160.g1	FGYA-3.CPF_O1
FGYA1161.b1	FGYA-3.CPR_A3
FGYA1161.g1	FGYA-3.CPF_A3
FGYA1162.b1	FGYA-3.CPR_C3
FGYA1162.g1	FGYA-3.CPF_C3
FGYA1163.b1	FGYA-3.CPR_E3
FGYA1163.g1	FGYA-3.CPF_E3
FGYA1164.b1	FGYA-3.CPR_G3
FGYA1164.g1	FGYA-3.CPF_G3
FGYA1165.b1	FGYA-3.CPR_I3
FGYA1165.g1	FGYA-3.CPF_I3
FGYA1166.b1	FGYA-3.CPR_K3
FGYA1166.g1	FGYA-3.CPF_K3
FGYA1167.b1	FGYA-3.CPR_M3
FGYA1167.g1	FGYA-3.CPF_M3
FGYA1168.b1	FGYA-3.CPR_O3
FGYA1168.g1	FGYA-3.CPF_O3
FGYA1169.b1	FGYA-3.CPR_A5
FGYA1170.b1	FGYA-3.CPR_C5
FGYA1170.g1	FGYA-3.CPF_C5
FGYA1171.b1	FGYA-3.CPR_E5
FGYA1171.g1	FGYA-3.CPF_E5
FGYA1172.b1	FGYA-3.CPR_G5
FGYA1172.g1	FGYA-3.CPF_G5
FGYA1173.b1	FGYA-3.CPR_I5
FGYA1173.g1	FGYA-3.CPF_I5
FGYA1174.b1	FGYA-3.CPR_K5
FGYA1174.g1	FGYA-3.CPF_K5
FGYA1175.b1	FGYA-3.CPR_M5
FGYA1175.g1	FGYA-3.CPF_M5
FGYA1176.b1	FGYA-3.CPR_O5
FGYA1176.g1	FGYA-3.CPF_O5
